metric,source_id,source_file,source_label,neighbor_rank,neighbor_id,neighbor_file,neighbor_label,same_label,distance
embedding_cosine,0,ag_G_Chorus40_1_.wav,Chorus,1,67,ag_G_Phaser40_8_.wav,Phaser,False,0.12771738
embedding_cosine,0,ag_G_Chorus40_1_.wav,Chorus,2,62,ag_G_Phaser40_3_.wav,Phaser,False,0.12776685
embedding_cosine,0,ag_G_Chorus40_1_.wav,Chorus,3,6,ag_G_Chorus40_7_.wav,Chorus,True,0.12878996
embedding_cosine,0,ag_G_Chorus40_1_.wav,Chorus,4,33,ag_G_Flanger40_4_.wav,Flanger,False,0.14177233
embedding_cosine,0,ag_G_Chorus40_1_.wav,Chorus,5,63,ag_G_Phaser40_4_.wav,Phaser,False,0.14376301
embedding_cosine,1,ag_G_Chorus40_2_.wav,Chorus,1,6,ag_G_Chorus40_7_.wav,Chorus,True,0.03152025
embedding_cosine,1,ag_G_Chorus40_2_.wav,Chorus,2,33,ag_G_Flanger40_4_.wav,Flanger,False,0.03847313
embedding_cosine,1,ag_G_Chorus40_2_.wav,Chorus,3,4,ag_G_Chorus40_5_.wav,Chorus,True,0.05373347
embedding_cosine,1,ag_G_Chorus40_2_.wav,Chorus,4,31,ag_G_Flanger40_2_.wav,Flanger,False,0.07843077
embedding_cosine,1,ag_G_Chorus40_2_.wav,Chorus,5,3,ag_G_Chorus40_4_.wav,Chorus,True,0.07983106
embedding_cosine,2,ag_G_Chorus40_3_.wav,Chorus,1,31,ag_G_Flanger40_2_.wav,Flanger,False,0.05851245
embedding_cosine,2,ag_G_Chorus40_3_.wav,Chorus,2,7,ag_G_Chorus40_8_.wav,Chorus,True,0.07143915
embedding_cosine,2,ag_G_Chorus40_3_.wav,Chorus,3,34,ag_G_Flanger40_5_.wav,Flanger,False,0.07305413
embedding_cosine,2,ag_G_Chorus40_3_.wav,Chorus,4,1,ag_G_Chorus40_2_.wav,Chorus,True,0.08634478
embedding_cosine,2,ag_G_Chorus40_3_.wav,Chorus,5,38,ag_G_Flanger40_9_.wav,Flanger,False,0.09910560
embedding_cosine,3,ag_G_Chorus40_4_.wav,Chorus,1,4,ag_G_Chorus40_5_.wav,Chorus,True,0.06338871
embedding_cosine,3,ag_G_Chorus40_4_.wav,Chorus,2,1,ag_G_Chorus40_2_.wav,Chorus,True,0.07983106
embedding_cosine,3,ag_G_Chorus40_4_.wav,Chorus,3,6,ag_G_Chorus40_7_.wav,Chorus,True,0.08751059
